Tarif_Adi,Lemmatized_Metin
Fırında Karnabahar Mücveri,karnabahar yumurta maydanoz dereotu kaşar peynir kabartma tozu un tuz karabiber kimyon karnabaharı dallarına ayırın ve haşlayın haşlanan karnabaharları ılımaya bırakın karnabaharları ezin ve üzerine yumurta dereotu maydanoz kabartma tozu tuz karabiber kimyon ve un ekleyin karışımı kaşık yardımı ile yağlı kağıt serili fırın tepsisine koyun önceden ısıtılmış derece fırına verin ve üzerleri kızarana kadar pişirin
Fırında Kuzu Sırt,kuzu sırt patates soğan kırmızı kapya biber yeşil biber acı kırmızı biber patlıcan sarımsak zeytinyağı taze biberiye kırmızı toz biber karabiber tuz patates soğan ve sarımsağın kabuğunu soyun patates ve soğanı halkalar halinde dilimleyin biberleri halka şeklinde dilimleyin patlıcanın kabuğunu alacalı soyun ve halka şeklinde dilimleyin dilimlediğiniz patlıcanları tuzlu su içinde dakika kadar bekletip suyunu süzün sebzeleri geniş bir kap içine koyun zeytinyağı tuz kırmızı toz biber ve karabiber ekleyin tüm sebzeleri eliniz ile güzelce harmanlayın sebzeleri fırın kabı içine koyup eliniz ile güzelce yayın kuzu sırt dilimlerini sebzelerin üzerine yerleştirin etlerin üzerine biraz tuz serpiştirin kapta kalan sos ile etleri güzelce harmanlayın etlerin üzerine dal taze biberiye koyun tepsinin tabanına yarım çay bardağı kadar su dökün hazırladığınız sebzeli kuzu sırt yemeğinin üzerini hafifçe ıslattığınız yağlı kağıt ile kapatın önceden ısıtılmış derece fırına verin etler ve sebzeler yumuşayana kadar yaklaşık dakika kadar kontrollü bir şekilde pişirin bu süre sonunda yağlı kağıdı alıp etleri ters çevirin bu şekilde de yaklaşık dakika daha pişirmeye devam edin
Fırında Peynirli Kabak Sandal,kabak beyaz peynir kaşar peynir yumurta dereotu zeytinyağı tuz kabakların baş kısımlarını kesin ortadan ikiye kesin kayık şeklinde içlerini kaşık yardımı ile çıkartın kabakları sıcak su içine koyun üzerine tuz serpiştirip yumuşayana kadar haşlayın beyaz peynir ve kaşar peynir rendeleyin üzerine adet yumurta kırın ardından tutam ince ince doğranmış dereotu ekleyip iyice karıştırın haşlanan kabakları fırın kabına alın kabakların içlerini peynirli karışımı paylaştırın kabak sandalı önceden ısıtılmış dereceli fırına verin üzerleri kızarıncaya kadar yaklaşık dakika pişirin
Fırında Patates Pizzası,patates sucuk mısır yeşil biber domates kaşar peynir zeytinyağı tuz ketçap domates salçası kekik patatesleri yıkayıp kurulayın patatesleri dilimleyin dilimlenmiş patatesleri fırın tepsisine dizin patateslerin üzerine zeytinyağı sürüp tuz serpiştirin patatesleri dakika fırında pişirin sosu hazırlayın pişmiş patateslerin üzerine sosu sürün patateslerin üzerine kaşar peynir serpiştirin patateslerin üzerine doğranmış biber sucuk ve domatesleri yerleştirin patatesleri tekrardan fırında dakika pişirin
Fırında Sardalya,sardalya balığı mısır unu tuz zeytinyağı sardalya balıklarını ayıklayın ve kafalarını kopartın balıkları musluk altında pullarını gidene kadar eliniz ile ovuşturun ve yıkayın balıkları süzgeç içinde bekletip suyunun iyice süzülmesini sağlayın bir kase içine mısır unu koyun ve damak tadınıza göre tuz ekleyin sardalya balıklarının her tarafını mısır ununa güzelce bulayın orta boy bir fırın kabının tabanını zeytinyağı ile yağlayın balıkları kabın içine yan yana ve sık sık boşluk bırakmadan aralıksız olarak dizin balıkların üzerine güzelce zeytinyağı gezdirin önceden ısıtılmış derece fırına verin mısır unlu sardalya balığının üzeri güzelce kızarana kadar yaklaşık dakika pişirin
Fırında Taze Fasulye Kızartması,taze fasulye sarımsak süzme yoğurt zeytinyağı tuz taze fasulyeyi ayıklayıp temizleyin varsa kılçıklarını ayıklayın ardından her bir fasulyeyi uzunlamasına ortadan ikiye kesin taze fasulyeleri orta boy geniş bir kap içine koyun taze fasulyelerin üzerine diş küçük küçük doğranmış sarımsak serpiştirin fasulyelerin üzerine tatlı kaşığı tuz ve yemek kaşığı zeytinyağı ekleyin bu aşamada fasulyelerin üzerine istediğiniz baharatları ekleyebilirsiniz kaptaki tüm malzemeleri eliniz ile iyice harmanlayın taze fasulyeleri yağlı kağıt serili fırın tepsisi içine güzelce yayın önceden ısıtılmış derece fırına verin taze fasulyelerin üzerleri hafifçe kızarana kadar yaklaşık dakika kontrollü bir şekilde pişirin piştikten sonra fırından çıkartıp kenarda ılımaya bırakın bir kase içine su bardağı süzme yoğurt koyun yoğurdun üzerine biraz tuz ve diş ezilmiş sarımsak ekleyip iyice çırpın hazırladığınız yoğurdu servis tabağının tabanına güzelce yayın yoğurdun üzerine fasulyeleri bir maşa yardımı ile düzgün bir şekilde yerleştirip servis edebilirsiniz
Garnitürlü Sütlü Fırın Patates,patates süt sıvı yağ yumurta kırmızı pulbiber kekik tuz garnitür konserve mısır rendelenmiş kaşar peynir patatesleri soyup küp küp doğrayın küçük bir fırın kabının tabanına yayın bir kap içine yumurta kırın üzerine süt sıvı yağ kırmızı pulbiber kekik ve tuz ekleyin çırpıcı yardımı ile iyice karıştırın hazırladığınız sütlü karışımı doğranmış patateslerin üzerine dökün önceden ısıtılmış derece fırına verin üzeri hafifçe kızarana kadar pişirin diğer tarafta bir kaba garnitür konserve mısır kekik ve çok az miktar tuz koyup karıştırın pişen patatesi fırından çıkartın üzerine rendelenmiş kaşar peynir serpiştirin kaşar peynir üzerine de garnitürlü karışımı serpiştirin tekrar fırına verip dakika pişirin son olarak garnitürlü sütlü fırın patatesin üzerine tekrar rendelenmiş kaşar peynir serpiştirin fırına verip kaşar peynirler eriyene kadar pişirin
Hamursuz Ispanak Böreği,ıspanak yumurta yoğurt zeytinyağı beyaz peynir kabartma tozu soğan tuz un çörek otu yarım kilo ıspanağı ayıklayıp iyice yıkayın ardından bıçak yardımı ile ince ince doğrayın doğradığınız ıspanakları koyun üzerine adet ince ince doğranmış soğan ve az miktar tuz ekleyin eliniz ile yoğurarak ıspanakları öldürün diğer tarafta başka bir kap içine adet yumurta kırın üzerine yarım su bardağı yoğurt yarım çay bardağı zeytinyağı paket kabartma tozu ve çay kaşığı tuz koyun tel çırpıcı yardımı ile iyice karıştırın hazırladığınız yumurtalı karışımı öldürdüğünüz ıspanakların üzerine dökün kaşık yardımı ile güzelce karıştırın ardından kaba su bardağı ufalanmış beyaz peynir ve yemek kaşığı un ekleyip iyice karıştırın hazırladığınız ıspanaklı karışımı yağlı kağıt serili küçük yuvarlak borcam içine dökün üzerine bolca çörek otu serpiştirin önceden ısıtılmış derece fırına verin üzeri hafifçe kızarana kadar yaklaşık dakika pişirin
Köfteli Patates Dizmesi,patates köftelik kıyma soğan yumurta galeta unu tuz karabiber kekik kimyon domates salçası ılık su derin bir kaba yarım kilo köftelik kıyma koyun üzerine adet orta boy soğanı rendenin ince tarafı ile rendeleyin ardından kaba adet yumurta kırıp yemek kaşığı galeta unu damak tadınıza göre tuz karabiber kimyon ve kekik ekleyin köfte harcını eliniz ile iyice yoğurun hazırladığınız köfte harcından ceviz büyüklüğünde parçalar alıp elinizde yuvarlayarak bir tabak üzerine dizin daha sonra köfteleri kızgın yağ içinde arkalı önlü hafifçe kızartın kızaran köfteleri bir tabak üzerine alın adet orta boydan biraz küçük olan patatesin kabuğunu soyup kalın olmayacak şekilde halkalar halinde kesin patates dilimleri köftenizin büyüklüğünde olsun daha sonra küçük yuvarlak borcam fırın kabının içine bir köfte ve bir patates olacak şekilde yanyana dizin köfte ve patateslerin üzerine birkaç tane domates dilimi koyun i steğe göre yeşil biber de koyabilirsiniz sosu için bir kap içine yemek kaşığı domates salçası koyun salçanın üzerine buçuk su bardağı ılık su ve biraz tuz koyup iyice karıştırın hazırladığınız salçalı sosu köfte ve patateslerin üzerine gezdirerek dökün önceden ısıtılmış derece fırına verin patatesler yumuşayana kadar yaklaşık dakika pişirin pişme sırasında patatesleri kere çevirerek kolayca pişmesini sağlayabilirsiniz köfteli patates dizmesi piştikten sonra fırından çıkartıp sıcak olarak servis edebilirsiniz
Şehzade Kebabı,kemer patlıcan kuşbaşı et kuru soğan çerliston biber sarımsak karabiber pulbiber kekik tuz sıvı yağ domates salçası su domates biber gr kuşbaşı doğranmış eti kızgın bir teflon tencere içine koyun dakika kadar ara ara karıştırarak kavurun daha sonra etlerin üzerini biraz geçecek kadar su döküp etler yumuşayıncaya kadar pişirin adet kemer patlıcanı alacalı olarak soyun büyük küpler halinde kesin kızgın yağ içinde kızartın geniş bir tava içine adet ince ince doğranmış kuru soğan ve adet iri doğranmış çerliston biberi koyun üzerlerine yemek kaşığı kadar sıvı yağ ekleyip dakika kadar kavurun kavrulmuş soğan ve biberlerin üzerine diş rendelenmiş sarımsak tuz ve damak tadınıza göre karabiber pul biber ve kekik ekleyip karıştırın daha sonra karışımın üzerine pişen kuşbaşı etleri koyup karıştırın ocağın altını kapatın son olarak tava içine kızarttığınız patlıcanları ekleyin kere karıştırın orta boy bir fırın kabı içine patlıcanlı etli karışımı koyup yayın daha sonra yemek kaşığı salçayı su bardağı su içinde iyice ezerek açın hazırladığınız şehzade kebabının üzerine salçalı sosu gezdirerek dökün şehzade kebabının üzerini domates ve biber dilimleri ile süsleyin önceden ısıtılmış derece fırına verin yaklaşık dakika kadar pişirin
Bostan Kebabı,kuşbaşı doğranmış et bostan patlıcanı soğan domates sivri biber maydanoz sarımsak zeytinyağı tuz karabiber sıvı yağ domates salçası ılık su etleri kızgın bir teflon tencereye koyun ve dakika kavurun etlerin üzerini geçecek kadar su dökün ve yumuşayana kadar pişirin domates soğan sarımsak ve biberleri doğrayın patlıcanları alacalı soyun yıkayın ve kurulayın patlıcanları kızgın yağda arkalı önlü kızartın etlerin üzerine zeytinyağı soğan ve sarımsak ekleyin ve dakika kavurun domates ve biberleri ekleyin ve damak tadınıza göre tuz ve karabiber ekleyin kapağı kapatıp orta ateşte domates ve biberler yumuşayana kadar pişirin et harcını patlıcanların ortalarına paylaştırın ve üzerlerine domates dilimleri yerleştirin salçalı sosu fırın kabına dökün ve önceden ısıtılmış derece fırına verin
Fırında Domates Közleme,domates tuz kestiğiniz domates dilimlerini fırın kabı içine dizin domatesleri önceden ısıtılmış derece fırına verin domatesleri yaklaşık dakika kadar pişirin közlenmiş domatesleri fırından çıkartıp soğumaya bırakın
Fırında Kabak Kızartması,kabak zeytinyağı kırmızı pul biber kuru nane kekik tuz yoğurt adet kabağı yıkayıp çok ince ve kalın olmayacak şekilde halkalar halinde dilimleyin dilimlediğiniz kabakları derin bir kap içine alın üzerine yarım çay kaşığı kırmızı pul biber yarım çay kaşığı kuru nane yarım çay kaşığı kekik ve damak tadınıza göre tuz ekleyin ardından kabakların üzerine yemek kaşığı zeytinyağı gezdirin kabakları eliniz ile iyice karıştırın daha sonra yağlı kağıt serili fırın tepsisi içine kabakları dizin önceden ısıtılmış derece fırına verip kabaklar kızarana kadar pişirin kabaklar piştikten sonra fırından çıkartıp servis tabağına yerleştirin üzeri için su bardağı yoğurdu az miktar tuz ile iyice çırpın hazırladığınız fırında kabak kızartmasını yoğurt eşliğinde servis edebilirsiniz
Ispanak Graten,ıspanak hazır garnitür soğan sıvı yağ tereyağ un süt tuz karabiber rendelenmiş kaşar peynir geniş bir tencere içine adet ince ince doğranmış soğan koyun üzerine yemek kaşığı sıvı yağ döküp dakika kavurun kavrulmuş soğanın üzerine doğranmış ıspanakları ekleyin ispanaklar suyunu salıp çekene kadar pişirin daha sonra pişen ıspanakların üzerine su bardağı hazır garnitür damak tadınıza göre tuz ve karabiber koyun ispanaklı harcı ocak üzerinde kısa bir süre daha kavurun beşamel sos için küçük bir tencere içine yemek kaşığı dolusu tereyağ koyup eritin eriyen yağın üzerine buçuk yemek kaşığı un ekleyin unun kokusu çıkana kadar yaklaşık dakika kavurun daha sonra buçuk su bardağı sütü azar azar döküp unun topaklanmaması için sürekli karıştırın beşamel sos koyu bir kıvam alana kadar kısık ateş üzerinde pişirin hazırladığınız ıspanaklı harcı orta boy bir fırın kabı içine koyup yayın beşamel sosu ıspanaklı harcın üzerine dökün son olarak gratenin üzerine bolca rendelenmiş kaşar peynir serpiştirin ispanak grateni önceden ısıtılmış derece fırına verin üzeri kızarana kadar yaklaşık dakika pişirin
Kıymalı Fırın Makarna,fırın makarna kavrulmuş kıyma tereyağı un süt tuz rendelenmiş kaşar peynir derin bir tencere içine su koyup kaynamaya bırakın kaynayan suyun içine yarım paket fırın makarna ve biraz tuz koyup yumuşayana kadar haşlayın orta boy bir tencere içine yemek kaşığı tereyağı koyup eritin üzerine buçuk yemek kaşığı un ekleyin unun hafifçe kokusu çıkana kadar kavurun kavrulan unun üzerine buçuk su bardağı sütü azar azar döküp unun topaklanmaması için hızlı bir şekilde karıştırın hafifçe koyu bir kıvam alana kadar pişirin eğer kıvamı çok fazla koyu ise az miktar daha süt ekleyebilirsiniz son olarak az miktar tuz koyun karıştırıp ocaktan alın daha sonra haşlanan makarnanın suyunu süzün makarnayı derin bir kaba koyun üzerine hazırladığınız sosu dökün ardından kaba gr kavrulmuş kıymayı ekleyin kapta bulunan tüm malzemeyi güzelce karıştırın kıyma soslu makarnayı yağlanmış küçük dikdörtgen borcam içine koyup yayın üzerine bolca rendelenmiş kaşar peynir serpiştirin kıyma soslu makarnayı önceden ısıtılmış derece fırına verin üzeri iyice kızarana kadar yaklaşık dakika pişirin kıymalı fırın makarna piştikten sonra dakika kadar dinlenmeye bırakın dinlenen kıymalı fırın makarnayı dilimleyip sıcak olarak servis edebilirsiniz
